OBJECTNUMMER,CBS_Wijkcode,Wijkcode,Wijk,Gebiedcode,Gebied,Stadsdeelcode,Stadsdeel,Oppervlakte_m2,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT,geometry
1,"""BU0363EQ""","""EQ""","""Da Costabuurt""","""GE05""","""Oud-West, De Baarsjes""","""E""","""West""",257542,"POLYGON((4.867406 52.371797,4.869586 52.368605,4.870809 52.36685,4.873799 52.367714,4.876809 52.368503,4.876679 52.368677,4.876303 52.368967,4.875993 52.369254,4.875806 52.369462,4.875674 52.369639,4.875045 52.370683,4.874503 52.371889,4.874452 52.37206,4.87444 52.372201,4.874483 52.372324,4.874555 52.372449,4.874645 52.372562,4.874783 52.37269,4.874831 52.372727,4.875168 52.372924,4.875235 52.372974,4.875296 52.373035,4.875384 52.37315,4.875432 52.373235,4.875487 52.37341,4.867406 52.371797))","""POLYGON((52.371797 4.867406,52.368605 4.869586,52.36685 4.870809,52.367714 4.873799,52.368503 4.876809,52.368677 4.876679,52.368967 4.876303,52.369254 4.875993,52.369462 4.875806,52.369639 4.875674,52.370683 4.875045,52.371889 4.874503,52.37206 4.874452,52.372201 4.87444,52.372324 4.874483,52.372449 4.874555,52.372562 4.874645,52.37269 4.874783,52.372727 4.874831,52.372924 4.875168,52.372974 4.875235,52.373035 4.875296,52.37315 4.875384,52.373235 4.875432,52.37341 4.875487,52.371797 4.867406))""",4.8721075,52.37013,"POLYGON ((4.867406 52.371797, 4.869586 52.368605, 4.870809 52.36685, 4.873799 52.367714, 4.876809 52.368503, 4.876679 52.368677, 4.876303 52.368967, 4.875993 52.369254, 4.875806 52.369462, 4.875674 52.369639, 4.875045 52.370683, 4.874503 52.371889, 4.874452 52.37206, 4.87444 52.372201, 4.874483 52.372324, 4.874555 52.372449, 4.874645 52.372562, 4.874783 52.37269, 4.874831 52.372727, 4.875168 52.372924, 4.875235 52.372974, 4.875296 52.373035, 4.875384 52.37315, 4.875432 52.373235, 4.875487 52.37341, 4.867406 52.371797))"
2,"""BU0363ER""","""ER""","""Westindische Buurt""","""GE05""","""Oud-West, De Baarsjes""","""E""","""West""",345503,"POLYGON((4.848885 52.358045,4.848892 52.357914,4.850042 52.357922,4.850575 52.357912,4.852176 52.357924,4.852456 52.357908,4.85265 52.357915,4.852843 52.35794,4.853007 52.357989,4.853405 52.358074,4.85355 52.358097,4.853623 52.358093,4.853897 52.358024,4.854781 52.357756,4.856442 52.359819,4.856704 52.36012,4.856832 52.36029,4.85697 52.360501,4.857086 52.360711,4.857186 52.360931,4.85733 52.361297,4.857456 52.36155,4.857638 52.361841,4.857854 52.362123,4.859239 52.363671,4.858343 52.364145,4.858254 52.364208,4.857637 52.364258,4.856606 52.364166,4.855675 52.363857,4.85319 52.363553,4.851657 52.36337,4.849461 52.363367,4.849516 52.36095,4.84889 52.360759,4.848885 52.358045))","""POLYGON((52.358045 4.848885,52.357914 4.848892,52.357922 4.850042,52.357912 4.850575,52.357924 4.852176,52.357908 4.852456,52.357915 4.85265,52.35794 4.852843,52.357989 4.853007,52.358074 4.853405,52.358097 4.85355,52.358093 4.853623,52.358024 4.853897,52.357756 4.854781,52.359819 4.856442,52.36012 4.856704,52.36029 4.856832,52.360501 4.85697,52.360711 4.857086,52.360931 4.857186,52.361297 4.85733,52.36155 4.857456,52.361841 4.857638,52.362123 4.857854,52.363671 4.859239,52.364145 4.858343,52.364208 4.858254,52.364258 4.857637,52.364166 4.856606,52.363857 4.855675,52.363553 4.85319,52.36337 4.851657,52.363367 4.849461,52.36095 4.849516,52.360759 4.84889,52.358045 4.848885))""",4.854062,52.361007,"POLYGON ((4.848885 52.358045, 4.848892 52.357914, 4.850042 52.357922, 4.850575 52.357912, 4.852176 52.357924, 4.852456 52.357908, 4.85265 52.357915, 4.852843 52.35794, 4.853007 52.357989, 4.853405 52.358074, 4.85355 52.358097, 4.853623 52.358093, 4.853897 52.358024, 4.854781 52.357756, 4.856442 52.359819, 4.856704 52.36012, 4.856832 52.36029, 4.85697 52.360501, 4.857086 52.360711, 4.857186 52.360931, 4.85733 52.361297, 4.857456 52.36155, 4.857638 52.361841, 4.857854 52.362123, 4.859239 52.363671, 4.858343 52.364145, 4.858254 52.364208, 4.857637 52.364258, 4.856606 52.364166, 4.855675 52.363857, 4.85319 52.363553, 4.851657 52.36337, 4.849461 52.363367, 4.849516 52.36095, 4.84889 52.360759, 4.848885 52.358045))"
3,"""BU0363KB""","""KB""","""Schinkelbuurt""","""GK11""","""Oud-Zuid""","""K""","""Zuid""",344932,"POLYGON((4.848181 52.342768,4.849791 52.342924,4.8501 52.343016,4.851116 52.343255,4.852022 52.3434,4.851916 52.343632,4.851637 52.34404,4.851521 52.344375,4.851442 52.344705,4.85147 52.345266,4.851487 52.345349,4.851546 52.345515,4.85159 52.3456,4.851719 52.345785,4.851838 52.345924,4.852008 52.346094,4.852218 52.346265,4.852424 52.346418,4.852633 52.346554,4.852811 52.346645,4.852929 52.346696,4.853179 52.346782,4.853504 52.346858,4.857573 52.347419,4.857533 52.347948,4.857459 52.349744,4.857413 52.349831,4.856757 52.351263,4.856607 52.351522,4.856323 52.35219,4.85613 52.352786,4.855652 52.354129,4.855495 52.354667,4.855842 52.354623,4.855751 52.354667,4.855713 52.354725,4.855727 52.35479,4.855747 52.354814,4.855806 52.354852,4.855702 52.355019,4.855667 52.355026,4.855027 52.356322,4.855085 52.35641,4.854123 52.356523,4.853773 52.355346,4.853693 52.355251,4.853553 52.354776,4.852371 52.350952,4.851561 52.348448,4.851278 52.347828,4.851166 52.347644,4.850574 52.346769,4.849062 52.343801,4.848815 52.343439,4.848181 52.342768))","""POLYGON((52.342768 4.848181,52.342924 4.849791,52.343016 4.8501,52.343255 4.851116,52.3434 4.852022,52.343632 4.851916,52.34404 4.851637,52.344375 4.851521,52.344705 4.851442,52.345266 4.85147,52.345349 4.851487,52.345515 4.851546,52.3456 4.85159,52.345785 4.851719,52.345924 4.851838,52.346094 4.852008,52.346265 4.852218,52.346418 4.852424,52.346554 4.852633,52.346645 4.852811,52.346696 4.852929,52.346782 4.853179,52.346858 4.853504,52.347419 4.857573,52.347948 4.857533,52.349744 4.857459,52.349831 4.857413,52.351263 4.856757,52.351522 4.856607,52.35219 4.856323,52.352786 4.85613,52.354129 4.855652,52.354667 4.855495,52.354623 4.855842,52.354667 4.855751,52.354725 4.855713,52.35479 4.855727,52.354814 4.855747,52.354852 4.855806,52.355019 4.855702,52.355026 4.855667,52.356322 4.855027,52.35641 4.855085,52.356523 4.854123,52.355346 4.853773,52.355251 4.853693,52.354776 4.853553,52.350952 4.852371,52.348448 4.851561,52.347828 4.851278,52.347644 4.851166,52.346769 4.850574,52.343801 4.849062,52.343439 4.848815,52.342768 4.848181))""",4.852877,52.3496455,"POLYGON ((4.848181 52.342768, 4.849791 52.342924, 4.8501 52.343016, 4.851116 52.343255, 4.852022 52.3434, 4.851916 52.343632, 4.851637 52.34404, 4.851521 52.344375, 4.851442 52.344705, 4.85147 52.345266, 4.851487 52.345349, 4.851546 52.345515, 4.85159 52.3456, 4.851719 52.345785, 4.851838 52.345924, 4.852008 52.346094, 4.852218 52.346265, 4.852424 52.346418, 4.852633 52.346554, 4.852811 52.346645, 4.852929 52.346696, 4.853179 52.346782, 4.853504 52.346858, 4.857573 52.347419, 4.857533 52.347948, 4.857459 52.349744, 4.857413 52.349831, 4.856757 52.351263, 4.856607 52.351522, 4.856323 52.35219, 4.85613 52.352786, 4.855652 52.354129, 4.855495 52.354667, 4.855842 52.354623, 4.855751 52.354667, 4.855713 52.354725, 4.855727 52.35479, 4.855747 52.354814, 4.855806 52.354852, 4.855702 52.355019, 4.855667 52.355026, 4.855027 52.356322, 4.855085 52.35641, 4.854123 52.356523, 4.853773 52.355346, 4.853693 52.355251, 4.853553 52.354776, 4.852371 52.350952, 4.851561 52.348448, 4.851278 52.347828, 4.851166 52.347644, 4.850574 52.346769, 4.849062 52.343801, 4.848815 52.343439, 4.848181 52.342768))"
4,"""BU0363KC""","""KC""","""Willemspark""","""GK11""","""Oud-Zuid""","""K""","""Zuid""",695818,"POLYGON((4.855085 52.35641,4.855027 52.356322,4.855667 52.355026,4.855702 52.355019,4.855806 52.354852,4.855747 52.354814,4.855727 52.35479,4.855713 52.354725,4.855751 52.354667,4.855842 52.354623,4.855495 52.354667,4.855652 52.354129,4.85613 52.352786,4.856323 52.35219,4.856607 52.351522,4.856757 52.351263,4.857413 52.349831,4.860918 52.350766,4.861583 52.349728,4.865303 52.350694,4.866079 52.350898,4.87039 52.352044,4.870566 52.352072,4.870409 52.35254,4.870076 52.353005,4.869795 52.353183,4.869043 52.354164,4.868916 52.354367,4.868163 52.355321,4.867979 52.355269,4.86764 52.355852,4.867588 52.355917,4.8675 52.35598,4.867402 52.356021,4.8673 52.356029,4.867199 52.356017,4.867135 52.356104,4.86554 52.358854,4.865524 52.358862,4.865486 52.359014,4.865452 52.359009,4.863671 52.358581,4.863185 52.358472,4.863179 52.358481,4.862257 52.35825,4.862248 52.358263,4.861812 52.358154,4.861823 52.358137,4.859807 52.357617,4.858944 52.357406,4.855085 52.35641))","""POLYGON((52.35641 4.855085,52.356322 4.855027,52.355026 4.855667,52.355019 4.855702,52.354852 4.855806,52.354814 4.855747,52.35479 4.855727,52.354725 4.855713,52.354667 4.855751,52.354623 4.855842,52.354667 4.855495,52.354129 4.855652,52.352786 4.85613,52.35219 4.856323,52.351522 4.856607,52.351263 4.856757,52.349831 4.857413,52.350766 4.860918,52.349728 4.861583,52.350694 4.865303,52.350898 4.866079,52.352044 4.87039,52.352072 4.870566,52.35254 4.870409,52.353005 4.870076,52.353183 4.869795,52.354164 4.869043,52.354367 4.868916,52.355321 4.868163,52.355269 4.867979,52.355852 4.86764,52.355917 4.867588,52.35598 4.8675,52.356021 4.867402,52.356029 4.8673,52.356017 4.867199,52.356104 4.867135,52.358854 4.86554,52.358862 4.865524,52.359014 4.865486,52.359009 4.865452,52.358581 4.863671,52.358472 4.863185,52.358481 4.863179,52.35825 4.862257,52.358263 4.862248,52.358154 4.861812,52.358137 4.861823,52.357617 4.859807,52.357406 4.858944,52.35641 4.855085))""",4.8627965,52.354371,"POLYGON ((4.855085 52.35641, 4.855027 52.356322, 4.855667 52.355026, 4.855702 52.355019, 4.855806 52.354852, 4.855747 52.354814, 4.855727 52.35479, 4.855713 52.354725, 4.855751 52.354667, 4.855842 52.354623, 4.855495 52.354667, 4.855652 52.354129, 4.85613 52.352786, 4.856323 52.35219, 4.856607 52.351522, 4.856757 52.351263, 4.857413 52.349831, 4.860918 52.350766, 4.861583 52.349728, 4.865303 52.350694, 4.866079 52.350898, 4.87039 52.352044, 4.870566 52.352072, 4.870409 52.35254, 4.870076 52.353005, 4.869795 52.353183, 4.869043 52.354164, 4.868916 52.354367, 4.868163 52.355321, 4.867979 52.355269, 4.86764 52.355852, 4.867588 52.355917, 4.8675 52.35598, 4.867402 52.356021, 4.8673 52.356029, 4.867199 52.356017, 4.867135 52.356104, 4.86554 52.358854, 4.865524 52.358862, 4.865486 52.359014, 4.865452 52.359009, 4.863671 52.358581, 4.863185 52.358472, 4.863179 52.358481, 4.862257 52.35825, 4.862248 52.358263, 4.861812 52.358154, 4.861823 52.358137, 4.859807 52.357617, 4.858944 52.357406, 4.855085 52.35641))"
5,"""BU0363KD""","""KD""","""Museumkwartier""","""GK11""","""Oud-Zuid""","""K""","""Zuid""",1380178,"POLYGON((4.86554 52.358854,4.867135 52.356104,4.867199 52.356017,4.8673 52.356029,4.867402 52.356021,4.8675 52.35598,4.867588 52.355917,4.86764 52.355852,4.867979 52.355269,4.868163 52.355321,4.868916 52.354367,4.869043 52.354164,4.869795 52.353183,4.870076 52.353005,4.870409 52.35254,4.870566 52.352072,4.87086 52.352119,4.871924 52.352218,4.873 52.352214,4.873547 52.352175,4.877493 52.351472,4.883684 52.350366,4.884782 52.349557,4.886281 52.348474,4.886526 52.350656,4.886485 52.352236,4.886499 52.352767,4.886518 52.352889,4.886567 52.353029,4.886624 52.353149,4.886773 52.35338,4.886768 52.35355,4.886786 52.353938,4.886778 52.354412,4.886698 52.355295,4.886582 52.356853,4.886603 52.357267,4.886724 52.358732,4.886795 52.359601,4.886964 52.359925,4.887389 52.360232,4.8863 52.36078,4.884404 52.361727,4.884235 52.361794,4.884046 52.361849,4.883846 52.361888,4.883639 52.36191,4.882635 52.361928,4.882511 52.361938,4.882398 52.361957,4.88226 52.361994,4.882099 52.362056,4.880603 52.361632,4.878587 52.361093,4.877454 52.360781,4.877388 52.360871,4.877359 52.360863,4.877197 52.361095,4.876749 52.360968,4.876888 52.360767,4.876916 52.360774,4.876968 52.36076,4.876985 52.360736,4.877021 52.360738,4.877036 52.360715,4.876933 52.360689,4.876953 52.36066,4.876633 52.360581,4.876621 52.360618,4.876594 52.360626,4.876556 52.360681,4.876567 52.360698,4.876497 52.3608,4.87626 52.360738,4.876184 52.360807,4.87587 52.360716,4.875826 52.36077,4.875601 52.360819,4.875532 52.36075,4.875469 52.360706,4.875393 52.36068,4.875316 52.360674,4.875245 52.360683,4.87503 52.360785,4.874606 52.360911,4.874396 52.360928,4.874254 52.360931,4.874158 52.360965,4.874077 52.360982,4.874019 52.361019,4.873857 52.360977,4.873829 52.360855,4.873789 52.360808,4.873728 52.360785,4.873608 52.360752,4.873521 52.360738,4.873291 52.360751,4.873017 52.360646,4.872455 52.360476,4.872181 52.360409,4.871916 52.360361,4.871846 52.360351,4.871541 52.360356,4.871391 52.360569,4.871277 52.360541,4.871476 52.360248,4.871303 52.360202,4.871247 52.360284,4.870061 52.359983,4.869959 52.360124,4.868646 52.359769,4.868152 52.359643,4.866881 52.359352,4.86591 52.35912,4.865909 52.358936,4.865801 52.358822,4.86554 52.358854))","""POLYGON((52.358854 4.86554,52.356104 4.867135,52.356017 4.867199,52.356029 4.8673,52.356021 4.867402,52.35598 4.8675,52.355917 4.867588,52.355852 4.86764,52.355269 4.867979,52.355321 4.868163,52.354367 4.868916,52.354164 4.869043,52.353183 4.869795,52.353005 4.870076,52.35254 4.870409,52.352072 4.870566,52.352119 4.87086,52.352218 4.871924,52.352214 4.873,52.352175 4.873547,52.351472 4.877493,52.350366 4.883684,52.349557 4.884782,52.348474 4.886281,52.350656 4.886526,52.352236 4.886485,52.352767 4.886499,52.352889 4.886518,52.353029 4.886567,52.353149 4.886624,52.35338 4.886773,52.35355 4.886768,52.353938 4.886786,52.354412 4.886778,52.355295 4.886698,52.356853 4.886582,52.357267 4.886603,52.358732 4.886724,52.359601 4.886795,52.359925 4.886964,52.360232 4.887389,52.36078 4.8863,52.361727 4.884404,52.361794 4.884235,52.361849 4.884046,52.361888 4.883846,52.36191 4.883639,52.361928 4.882635,52.361938 4.882511,52.361957 4.882398,52.361994 4.88226,52.362056 4.882099,52.361632 4.880603,52.361093 4.878587,52.360781 4.877454,52.360871 4.877388,52.360863 4.877359,52.361095 4.877197,52.360968 4.876749,52.360767 4.876888,52.360774 4.876916,52.36076 4.876968,52.360736 4.876985,52.360738 4.877021,52.360715 4.877036,52.360689 4.876933,52.36066 4.876953,52.360581 4.876633,52.360618 4.876621,52.360626 4.876594,52.360681 4.876556,52.360698 4.876567,52.3608 4.876497,52.360738 4.87626,52.360807 4.876184,52.360716 4.87587,52.36077 4.875826,52.360819 4.875601,52.36075 4.875532,52.360706 4.875469,52.36068 4.875393,52.360674 4.875316,52.360683 4.875245,52.360785 4.87503,52.360911 4.874606,52.360928 4.874396,52.360931 4.874254,52.360965 4.874158,52.360982 4.874077,52.361019 4.874019,52.360977 4.873857,52.360855 4.873829,52.360808 4.873789,52.360785 4.873728,52.360752 4.873608,52.360738 4.873521,52.360751 4.873291,52.360646 4.873017,52.360476 4.872455,52.360409 4.872181,52.360361 4.871916,52.360351 4.871846,52.360356 4.871541,52.360569 4.871391,52.360541 4.871277,52.360248 4.871476,52.360202 4.871303,52.360284 4.871247,52.359983 4.870061,52.360124 4.869959,52.359769 4.868646,52.359643 4.868152,52.359352 4.866881,52.35912 4.86591,52.358936 4.865909,52.358822 4.865801,52.358854 4.86554))""",4.8764645,52.355265,"POLYGON ((4.86554 52.358854, 4.867135 52.356104, 4.867199 52.356017, 4.8673 52.356029, 4.867402 52.356021, 4.8675 52.35598, 4.867588 52.355917, 4.86764 52.355852, 4.867979 52.355269, 4.868163 52.355321, 4.868916 52.354367, 4.869043 52.354164, 4.869795 52.353183, 4.870076 52.353005, 4.870409 52.35254, 4.870566 52.352072, 4.87086 52.352119, 4.871924 52.352218, 4.873 52.352214, 4.873547 52.352175, 4.877493 52.351472, 4.883684 52.350366, 4.884782 52.349557, 4.886281 52.348474, 4.886526 52.350656, 4.886485 52.352236, 4.886499 52.352767, 4.886518 52.352889, 4.886567 52.353029, 4.886624 52.353149, 4.886773 52.35338, 4.886768 52.35355, 4.886786 52.353938, 4.886778 52.354412, 4.886698 52.355295, 4.886582 52.356853, 4.886603 52.357267, 4.886724 52.358732, 4.886795 52.359601, 4.886964 52.359925, 4.887389 52.360232, 4.8863 52.36078, 4.884404 52.361727, 4.884235 52.361794, 4.884046 52.361849, 4.883846 52.361888, 4.883639 52.36191, 4.882635 52.361928, 4.882511 52.361938, 4.882398 52.361957, 4.88226 52.361994, 4.882099 52.362056, 4.880603 52.361632, 4.878587 52.361093, 4.877454 52.360781, 4.877388 52.360871, 4.877359 52.360863, 4.877197 52.361095, 4.876749 52.360968, 4.876888 52.360767, 4.876916 52.360774, 4.876968 52.36076, 4.876985 52.360736, 4.877021 52.360738, 4.877036 52.360715, 4.876933 52.360689, 4.876953 52.36066, 4.876633 52.360581, 4.876621 52.360618, 4.876594 52.360626, 4.876556 52.360681, 4.876567 52.360698, 4.876497 52.3608, 4.87626 52.360738, 4.876184 52.360807, 4.87587 52.360716, 4.875826 52.36077, 4.875601 52.360819, 4.875532 52.36075, 4.875469 52.360706, 4.875393 52.36068, 4.875316 52.360674, 4.875245 52.360683, 4.87503 52.360785, 4.874606 52.360911, 4.874396 52.360928, 4.874254 52.360931, 4.874158 52.360965, 4.874077 52.360982, 4.874019 52.361019, 4.873857 52.360977, 4.873829 52.360855, 4.873789 52.360808, 4.873728 52.360785, 4.873608 52.360752, 4.873521 52.360738, 4.873291 52.360751, 4.873017 52.360646, 4.872455 52.360476, 4.872181 52.360409, 4.871916 52.360361, 4.871846 52.360351, 4.871541 52.360356, 4.871391 52.360569, 4.871277 52.360541, 4.871476 52.360248, 4.871303 52.360202, 4.871247 52.360284, 4.870061 52.359983, 4.869959 52.360124, 4.868646 52.359769, 4.868152 52.359643, 4.866881 52.359352, 4.86591 52.35912, 4.865909 52.358936, 4.865801 52.358822, 4.86554 52.358854))"
6,"""BU0363KE""","""KE""","""Oude Pijp""","""GK13""","""De Pijp, Rivierenbuurt""","""K""","""Zuid""",677274,"POLYGON((4.886485 52.352236,4.886803 52.352231,4.887065 52.352247,4.894556 52.35325,4.89909 52.354149,4.904811 52.355952,4.904997 52.355994,4.906056 52.356169,4.90489 52.358751,4.904634 52.359212,4.904 52.359049,4.901674 52.358595,4.899246 52.3581,4.899006 52.358049,4.89876 52.358006,4.898511 52.357973,4.898259 52.357948,4.898039 52.357935,4.896177 52.358047,4.89088 52.358369,4.890655 52.358397,4.890437 52.358432,4.890216 52.358479,4.890008 52.358532,4.889807 52.358594,4.889605 52.358667,4.889405 52.358752,4.889253 52.358828,4.888931 52.359019,4.888644 52.35923,4.888412 52.359441,4.888292 52.359585,4.888175 52.359705,4.88795 52.359896,4.887686 52.360074,4.887389 52.360232,4.886964 52.359925,4.886795 52.359601,4.886724 52.358732,4.886603 52.357267,4.886582 52.356853,4.886698 52.355295,4.886778 52.354412,4.886786 52.353938,4.886768 52.35355,4.886773 52.35338,4.886624 52.353149,4.886567 52.353029,4.886518 52.352889,4.886499 52.352767,4.886485 52.352236))","""POLYGON((52.352236 4.886485,52.352231 4.886803,52.352247 4.887065,52.35325 4.894556,52.354149 4.89909,52.355952 4.904811,52.355994 4.904997,52.356169 4.906056,52.358751 4.90489,52.359212 4.904634,52.359049 4.904,52.358595 4.901674,52.3581 4.899246,52.358049 4.899006,52.358006 4.89876,52.357973 4.898511,52.357948 4.898259,52.357935 4.898039,52.358047 4.896177,52.358369 4.89088,52.358397 4.890655,52.358432 4.890437,52.358479 4.890216,52.358532 4.890008,52.358594 4.889807,52.358667 4.889605,52.358752 4.889405,52.358828 4.889253,52.359019 4.888931,52.35923 4.888644,52.359441 4.888412,52.359585 4.888292,52.359705 4.888175,52.359896 4.88795,52.360074 4.887686,52.360232 4.887389,52.359925 4.886964,52.359601 4.886795,52.358732 4.886724,52.357267 4.886603,52.356853 4.886582,52.355295 4.886698,52.354412 4.886778,52.353938 4.886786,52.35355 4.886768,52.35338 4.886773,52.353149 4.886624,52.353029 4.886567,52.352889 4.886518,52.352767 4.886499,52.352236 4.886485))""",4.8962705,52.3562315,"POLYGON ((4.886485 52.352236, 4.886803 52.352231, 4.887065 52.352247, 4.894556 52.35325, 4.89909 52.354149, 4.904811 52.355952, 4.904997 52.355994, 4.906056 52.356169, 4.90489 52.358751, 4.904634 52.359212, 4.904 52.359049, 4.901674 52.358595, 4.899246 52.3581, 4.899006 52.358049, 4.89876 52.358006, 4.898511 52.357973, 4.898259 52.357948, 4.898039 52.357935, 4.896177 52.358047, 4.89088 52.358369, 4.890655 52.358397, 4.890437 52.358432, 4.890216 52.358479, 4.890008 52.358532, 4.889807 52.358594, 4.889605 52.358667, 4.889405 52.358752, 4.889253 52.358828, 4.888931 52.359019, 4.888644 52.35923, 4.888412 52.359441, 4.888292 52.359585, 4.888175 52.359705, 4.88795 52.359896, 4.887686 52.360074, 4.887389 52.360232, 4.886964 52.359925, 4.886795 52.359601, 4.886724 52.358732, 4.886603 52.357267, 4.886582 52.356853, 4.886698 52.355295, 4.886778 52.354412, 4.886786 52.353938, 4.886768 52.35355, 4.886773 52.35338, 4.886624 52.353149, 4.886567 52.353029, 4.886518 52.352889, 4.886499 52.352767, 4.886485 52.352236))"
7,"""BU0363KF""","""KF""","""Nieuwe Pijp""","""GK13""","""De Pijp, Rivierenbuurt""","""K""","""Zuid""",542255,"POLYGON((4.886281 52.348474,4.891281 52.348228,4.895262 52.348013,4.895296 52.348268,4.894641 52.350028,4.894542 52.350439,4.894559 52.350571,4.894747 52.351322,4.897588 52.351724,4.897679 52.351778,4.898092 52.351837,4.898961 52.351597,4.903033 52.352171,4.904176 52.352373,4.905214 52.352607,4.908364 52.35339,4.906552 52.355385,4.906056 52.356169,4.904997 52.355994,4.904811 52.355952,4.89909 52.354149,4.894556 52.35325,4.887065 52.352247,4.886803 52.352231,4.886485 52.352236,4.886526 52.350656,4.886281 52.348474))","""POLYGON((52.348474 4.886281,52.348228 4.891281,52.348013 4.895262,52.348268 4.895296,52.350028 4.894641,52.350439 4.894542,52.350571 4.894559,52.351322 4.894747,52.351724 4.897588,52.351778 4.897679,52.351837 4.898092,52.351597 4.898961,52.352171 4.903033,52.352373 4.904176,52.352607 4.905214,52.35339 4.908364,52.355385 4.906552,52.356169 4.906056,52.355994 4.904997,52.355952 4.904811,52.354149 4.89909,52.35325 4.894556,52.352247 4.887065,52.352231 4.886803,52.352236 4.886485,52.350656 4.886526,52.348474 4.886281))""",4.8973225,52.352091,"POLYGON ((4.886281 52.348474, 4.891281 52.348228, 4.895262 52.348013, 4.895296 52.348268, 4.894641 52.350028, 4.894542 52.350439, 4.894559 52.350571, 4.894747 52.351322, 4.897588 52.351724, 4.897679 52.351778, 4.898092 52.351837, 4.898961 52.351597, 4.903033 52.352171, 4.904176 52.352373, 4.905214 52.352607, 4.908364 52.35339, 4.906552 52.355385, 4.906056 52.356169, 4.904997 52.355994, 4.904811 52.355952, 4.89909 52.354149, 4.894556 52.35325, 4.887065 52.352247, 4.886803 52.352231, 4.886485 52.352236, 4.886526 52.350656, 4.886281 52.348474))"
